time,open,high,low,close,tick_volume,spread,real_volume
1655805600,102310.0,102880.0,102055.0,102385.0,623424,5,1977463
1655807400,102385.0,102530.0,101860.0,102250.0,622579,5,1874079
1655809200,102245.0,102375.0,101785.0,102050.0,493133,5,1500881
1655811000,102055.0,102175.0,101880.0,101890.0,329576,5,994434
1655812800,101895.0,102220.0,101820.0,102135.0,265192,5,835412
1655814600,102135.0,102330.0,101525.0,101625.0,347908,5,1089465
1655816400,101625.0,101885.0,101610.0,101805.0,232627,5,701578
1655818200,101805.0,102040.0,101770.0,102035.0,187699,5,609454
1655820000,102030.0,102185.0,101615.0,101685.0,296052,5,990284
1655821800,101680.0,101785.0,101065.0,101070.0,332254,5,1118888
1655823600,101065.0,101135.0,100845.0,101080.0,276113,5,906946
1655825400,101080.0,101450.0,101045.0,101445.0,226013,5,756344
1655827200,101445.0,101640.0,101415.0,101625.0,202285,5,698840
1655829000,101620.0,101655.0,101265.0,101325.0,206526,5,708616
1655830800,101325.0,101690.0,101265.0,101625.0,141036,5,444710
1655832600,101625.0,102290.0,101620.0,102290.0,122260,5,370485
1655888400,100350.0,100590.0,99880.0,100170.0,435425,5,1120490
1655890200,100165.0,100420.0,99780.0,100415.0,361643,5,1033605
1655892000,100410.0,100485.0,99825.0,100035.0,625288,5,1774824
1655893800,100035.0,100680.0,99770.0,100390.0,688592,5,1901928
1655895600,100390.0,101185.0,100215.0,101160.0,510958,5,1482791
1655897400,101160.0,101485.0,101105.0,101295.0,370396,5,1149722
1655899200,101295.0,101560.0,101005.0,101420.0,314950,5,988447
1655901000,101420.0,101755.0,101395.0,101485.0,266725,5,838336
1655902800,101480.0,101705.0,101440.0,101615.0,183151,5,563036
1655904600,101615.0,102070.0,101600.0,101810.0,254504,5,856050
1655906400,101810.0,102010.0,101710.0,101935.0,198675,5,654371
1655908200,101930.0,101995.0,101765.0,101840.0,155682,5,541028
1655910000,101845.0,102190.0,101740.0,101835.0,253557,5,871715
1655911800,101830.0,101875.0,101575.0,101750.0,198634,5,668477
1655913600,101750.0,101770.0,101505.0,101525.0,199611,5,667425
1655915400,101520.0,101545.0,101075.0,101175.0,247226,5,872742
1655917200,101175.0,101255.0,101020.0,101030.0,124033,5,397394
1655919000,101035.0,101225.0,100790.0,100810.0,114354,5,339279
1655974800,101485.0,101535.0,101195.0,101335.0,312995,5,811126
1655976600,101340.0,101715.0,101070.0,101660.0,396779,5,1166192
1655978400,101665.0,102015.0,101395.0,101655.0,589041,5,1734004
1655980200,101655.0,101690.0,100720.0,101115.0,743944,5,2182681
1655982000,101115.0,101385.0,100680.0,101020.0,524415,5,1528760
1655983800,101015.0,101515.0,100825.0,101495.0,411394,5,1243841
